
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-14 19:45:05 /tracking/active-shipments ......................................................... ~ 510.09ms
  2026-05-14 19:45:21 /tracking/active-shipments ........................................................... ~ 0.50ms
  2026-05-14 19:45:36 /tracking/active-shipments ......................................................... ~ 511.09ms
  2026-05-14 19:45:51 /tracking/active-shipments ......................................................... ~ 513.46ms
  2026-05-14 19:46:06 /tracking/active-shipments ........................................................... ~ 0.50ms
  2026-05-14 19:46:20 /tracking/active-shipments ......................................................... ~ 513.55ms
  2026-05-14 19:46:35 /tracking/active-shipments ......................................................... ~ 512.57ms
  2026-05-14 19:46:50 /tracking/active-shipments ........................................................... ~ 0.58ms
  2026-05-14 19:47:05 /tracking/active-shipments ......................................................... ~ 501.17ms
  2026-05-14 19:47:20 /tracking/active-shipments ........................................................... ~ 0.86ms
  2026-05-14 19:47:35 /tracking/active-shipments ......................................................... ~ 508.60ms
  2026-05-14 19:47:50 /tracking/active-shipments ......................................................... ~ 510.71ms
  2026-05-14 19:48:05 /tracking/active-shipments ......................................................... ~ 502.85ms
  2026-05-14 19:48:20 /tracking/active-shipments ......................................................... ~ 505.34ms
  2026-05-14 19:48:36 /tracking/active-shipments ......................................................... ~ 506.44ms
  2026-05-14 19:48:51 /tracking/active-shipments ......................................................... ~ 507.98ms
  2026-05-14 19:49:05 /tracking/active-shipments ......................................................... ~ 508.80ms
  2026-05-14 19:49:21 /tracking/active-shipments ........................................................... ~ 0.65ms
  2026-05-14 19:49:35 /tracking/active-shipments ......................................................... ~ 509.51ms
  2026-05-14 19:49:50 /tracking/active-shipments ........................................................... ~ 0.51ms
  2026-05-14 19:50:06 /tracking/active-shipments ......................................................... ~ 509.17ms
  2026-05-14 19:50:20 /tracking/active-shipments ........................................................... ~ 0.85ms
  2026-05-14 19:50:35 /tracking/active-shipments ......................................................... ~ 515.84ms
  2026-05-14 19:50:50 /tracking/active-shipments ......................................................... ~ 512.72ms
  2026-05-14 19:51:05 /tracking/active-shipments ........................................................... ~ 1.01ms
  2026-05-14 19:51:20 /tracking/active-shipments ........................................................... ~ 0.85ms
  2026-05-14 19:51:35 /tracking/active-shipments ......................................................... ~ 513.40ms
  2026-05-14 19:51:50 /tracking/active-shipments ........................................................... ~ 0.64ms
  2026-05-14 19:52:05 /tracking/active-shipments ......................................................... ~ 510.66ms
  2026-05-14 19:52:20 /tracking/active-shipments ......................................................... ~ 516.12ms
  2026-05-14 19:52:35 /tracking/active-shipments ........................................................... ~ 0.64ms
  2026-05-14 19:52:51 /tracking/active-shipments ......................................................... ~ 510.45ms
  2026-05-14 19:53:05 /tracking/active-shipments ......................................................... ~ 510.17ms
  2026-05-14 19:53:21 /tracking/active-shipments ........................................................... ~ 0.71ms
  2026-05-14 19:53:35 /tracking/active-shipments ......................................................... ~ 513.05ms
  2026-05-14 19:53:51 /tracking/active-shipments ............................................................... ~ 1s
  2026-05-14 19:54:05 /tracking/active-shipments ......................................................... ~ 512.38ms
  2026-05-14 19:54:22 /tracking/active-shipments ......................................................... ~ 511.03ms
  2026-05-14 19:54:38 /tracking/active-shipments ........................................................... ~ 0.65ms
  2026-05-14 19:54:51 /tracking/active-shipments ......................................................... ~ 512.07ms
  2026-05-14 19:55:06 /tracking/active-shipments ........................................................... ~ 0.56ms
  2026-05-14 19:55:20 /tracking/active-shipments ........................................................... ~ 0.76ms
  2026-05-14 19:55:36 /tracking/active-shipments ......................................................... ~ 516.54ms
  2026-05-14 19:55:50 /tracking/active-shipments ......................................................... ~ 508.94ms
  2026-05-14 19:56:05 /tracking/active-shipments ......................................................... ~ 514.43ms
  2026-05-14 19:56:20 /tracking/active-shipments ......................................................... ~ 514.60ms
  2026-05-14 19:56:35 /tracking/active-shipments ......................................................... ~ 508.80ms
  2026-05-14 19:56:50 /tracking/active-shipments ......................................................... ~ 511.10ms
  2026-05-14 19:57:06 /tracking/active-shipments ......................................................... ~ 515.54ms
  2026-05-14 19:57:21 /tracking/active-shipments ........................................................... ~ 0.59ms
  2026-05-14 19:57:35 /tracking/active-shipments ........................................................... ~ 9.63ms
  2026-05-14 19:57:50 /tracking/active-shipments ......................................................... ~ 513.15ms
  2026-05-14 19:58:05 /tracking/active-shipments ........................................................... ~ 0.78ms
  2026-05-14 19:58:20 /tracking/active-shipments ........................................................... ~ 0.59ms
  2026-05-14 19:58:36 /tracking/active-shipments ......................................................... ~ 511.46ms
  2026-05-14 19:58:50 /tracking/active-shipments ........................................................... ~ 0.96ms
  2026-05-14 19:59:05 /tracking/active-shipments ........................................................... ~ 0.85ms
  2026-05-14 19:59:21 /tracking/active-shipments ......................................................... ~ 511.19ms
  2026-05-14 19:59:36 /tracking/active-shipments ......................................................... ~ 508.62ms
  2026-05-14 19:59:50 /tracking/active-shipments ........................................................... ~ 1.44ms
